"Reino","Filo","Classe","Ordem","Familia","Genero","Nome_cientifico","Autor","Latitude","Longitude","Datum","Formato_original","Precisao_da_coordenada","Referencia_aproximacao","Metodologia_aproximacao","Descricao_do_metodo_aproximacao","Taxon_citado","Presenca_atual","Tipo_registro","Dia","Mes","Ano","Hora","Dia_fim","Mes_fim","Ano_fim","Endemica_Brasil","Data_e_Ano_desconhecidos","Localidade","Caracteristica_da_localidade","UC_Federais","UC_Nao_Federais","RPPN","Pais","Estado","Municipio","Ambiente","Habitat","Elevacao_minima","Elevacao_maxima","Profundidade_minima","Profundidade_maxima","Identificador","Data_identificacao","Identificacao_incerta","Tombamento","Instituicao_tombamento","Compilador","Data_compilacao","Revisor","Data_revisao","Validador","data_validacao","Autor_registro","Referencia_bibliografica","Base_dados","Id_Origem","Observacao"
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","18.915642","-96.827178","Nao informado","Graus decimais","Desconhecida","","","","","","","","","","","","","","Nao","","","","","","","","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","18.340556","-88.608889","Nao informado","Graus decimais","Desconhecida","","","","","","","1","1","1991","","","","","Nao","","","","","","","","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","15.708333","-96.608333","Nao informado","Graus decimais","Desconhecida","","","","","","","","","","","","","","Nao","","","","","","","","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","3.832306","-76.297889","Nao informado","Graus decimais","Desconhecida","","","","","","","14","1","2013","","","","","Nao","","","","","","","Colombia","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","19.150233","-104.50715","Nao informado","Graus decimais","Desconhecida","","","","","","","10","1","2000","","","","","Nao","","","","","","","","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","-24.5308","-48.7017","Nao informado","Graus decimais","Desconhecida","","","","","","","","","1900","","","","","Nao","","","","","PARQUE ESTADUAL TURISTICO DO ALTO DO RIBEIRA","","Brasil","Sao Paulo","Iporanga","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","SpeciesLink, 2014. Desmodus rotundus. SpeciesLink.org, Disponivel em: http://www.splink.org.br/. Acessado em: 16/09/2014.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","17.260556","-92.118889","Nao informado","Graus decimais","Desconhecida","","","","","","","22","7","1983","","","","","Nao","","","","","","","","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","20.017222","-104.004722","Nao informado","Graus decimais","Desconhecida","","","","","","","10","4","1973","","","","","Nao","","","","","","","","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","3.399294","-76.617303","Nao informado","Graus decimais","Desconhecida","","","","","","","","","","","","","","Nao","","","","","","","Colombia","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","17.55008","-99.50013","Nao informado","Graus decimais","Desconhecida","","","","","","","7","4","1978","","","","","Nao","","","","","","","","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","18.8842437747202","-99.0632000806664","Nao informado","Graus decimais","Desconhecida","","","","","","","6","8","1950","","","","","Nao","","","","","","","","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","20.299167","-103.261667","Nao informado","Graus decimais","Desconhecida","","","","","","","26","6","1954","","","","","Nao","","","","","","","","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","17.535833","-99.650833","Nao informado","Graus decimais","Desconhecida","","","","","","","15","2","1985","","","","","Nao","","","","","","","","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
