species,longitude,latitude,year,source
Desmodus rotundus,-44.627425,-16.148556,2014,portalbio
Desmodus rotundus,-34.94455,-7.993833,2014,portalbio
Desmodus rotundus,-34.94455,-7.993833,2014,portalbio
Desmodus rotundus,-43.963744,-23.068514,2010,portalbio
Desmodus rotundus,-44.361314,-23.043875,2010,portalbio
Desmodus rotundus,-35.139722,-6.741667,2011,portalbio
Desmodus rotundus,-35.139722,-6.741667,2011,portalbio
Desmodus rotundus,-35.139722,-6.741667,2011,portalbio
Desmodus rotundus,-46.656425,-1.026647,2008,portalbio
Desmodus rotundus,-51.868608,-25.603608,2010,portalbio
Desmodus rotundus,-37.450556,-10.834167,2012,portalbio
Desmodus rotundus,-43.716108,-19.171108,2013,portalbio
Desmodus rotundus,-51.25,-23.45,2014,portalbio
Desmodus rotundus,-45.5525,-19.925,2013,portalbio
Desmodus rotundus,-43.347222,-18.154167,2013,portalbio
Desmodus rotundus,-47.307021,-23.938888,2009,portalbio
Desmodus rotundus,-43.954925,-19.575317,2013,portalbio
Desmodus rotundus,-43.954925,-19.575317,2013,portalbio
Desmodus rotundus,-38.569,-12.681222,2009,portalbio
Desmodus rotundus,-46.936219,-1.051956,2013,portalbio
Desmodus rotundus,-46.956858,-1.025417,2013,portalbio
Desmodus rotundus,-46.955639,-1.01425,2013,portalbio
Desmodus rotundus,-46.520917,-1.284469,2013,portalbio
Desmodus rotundus,-46.741389,-1.050942,2013,portalbio
Desmodus rotundus,-37.274442,-7.478889,2012,portalbio
Desmodus rotundus,-47.51824,-20.73514,2013,portalbio
Desmodus rotundus,-47.51824,-20.73514,2013,portalbio
Desmodus rotundus,-48.547894,-25.595092,2013,portalbio
Desmodus rotundus,-48.547894,-25.595092,2013,portalbio
Desmodus rotundus,-48.724881,-25.756842,2012,portalbio
Desmodus rotundus,-48.724881,-25.756842,2012,portalbio
Desmodus rotundus,-48.724881,-25.756842,2013,portalbio
Desmodus rotundus,-48.724881,-25.756842,2013,portalbio
Desmodus rotundus,-42.615278000000004,-19.718333,2013,portalbio
Desmodus rotundus,-34.875,-8.125,2011,portalbio
Desmodus rotundus,-34.875,-8.125,2011,portalbio
Desmodus rotundus,-52.553472,-14.750611,2010,portalbio
Desmodus rotundus,-52.364444,-14.673056,2010,portalbio
Desmodus rotundus,-52.325278,-14.673056,2010,portalbio
Desmodus rotundus,-52.363611,-14.637222,2010,portalbio
Desmodus rotundus,-52.363611,-14.637222,2010,portalbio
Desmodus rotundus,-52.363611,-14.637222,2010,portalbio
Desmodus rotundus,-52.363611,-14.637222,2010,portalbio
Desmodus rotundus,-52.363611,-14.637222,2010,portalbio
Desmodus rotundus,-52.363611,-14.637222,2010,portalbio
Desmodus rotundus,-52.363611,-14.637222,2010,portalbio
Desmodus rotundus,-52.363611,-14.637222,2010,portalbio
Desmodus rotundus,-52.363611,-14.637222,2010,portalbio
Desmodus rotundus,-35.841667,-8.711389,2008,portalbio
Desmodus rotundus,-46.947417,-23.252167,2013,portalbio
Desmodus rotundus,-46.947417,-23.252167,2013,portalbio
Desmodus rotundus,-46.947417,-23.252167,2013,portalbio
Desmodus rotundus,-42.037222,-22.458333,2013,portalbio
Desmodus rotundus,-56.0859,-9.879407,2013,portalbio
Desmodus rotundus,-56.0859,-9.879407,2013,portalbio
Desmodus rotundus,-41.115,-13.920833,2006,portalbio
Desmodus rotundus,-41.115,-13.920833,2006,portalbio
Desmodus rotundus,-41.115,-13.920833,2006,portalbio
Desmodus rotundus,-41.115,-13.920833,2006,portalbio
Desmodus rotundus,-41.115,-13.920833,2006,portalbio
Desmodus rotundus,-41.115,-13.920833,2006,portalbio
Desmodus rotundus,-41.115,-13.920833,2006,portalbio
Desmodus rotundus,-41.115,-13.920833,2006,portalbio
Desmodus rotundus,-41.115,-13.920833,2006,portalbio
Desmodus rotundus,-41.115,-13.920833,2006,portalbio
Desmodus rotundus,-41.115,-13.920833,2006,portalbio
Desmodus rotundus,-41.115,-13.920833,2006,portalbio
Desmodus rotundus,-41.115,-13.920833,2006,portalbio
Desmodus rotundus,-41.115,-13.920833,2006,portalbio
Desmodus rotundus,-41.115,-13.920833,2006,portalbio
Desmodus rotundus,-41.115,-13.920833,2006,portalbio
Desmodus rotundus,-42.986883,-22.450256,2009,portalbio
Desmodus rotundus,-47.700833,-23.930833,2014,portalbio
Desmodus rotundus,-43.403333,-22.939722,2013,portalbio
Desmodus rotundus,-43.403333,-22.939722,2014,portalbio
Desmodus rotundus,-43.403333,-22.939722,2014,portalbio
Desmodus rotundus,-47.80148,-21.608731,2012,portalbio
Desmodus rotundus,-47.80148,-21.608731,2013,portalbio
Desmodus rotundus,-43.373667,-13.561444,2009,portalbio
Desmodus rotundus,-43.373667,-13.561444,2009,portalbio
Desmodus rotundus,-43.373667,-13.561444,2010,portalbio
Desmodus rotundus,-43.296917,-13.076306,2009,portalbio
Desmodus rotundus,-43.296917,-13.076306,2009,portalbio
