Dataset_sequence_ID,Data.entry,Cave.data.series,Biogeographical.realm,Continent,Biome classification,Country.record,Cave.site,Lattitude,Longitude,Species.name,Record.source,URL
Dataset_2_035,BC 036,S 005,Indomalayan,Asia,TSMB,Laos DPR,Tam Pha Tok,18.03333,104.41667,Rhinolophus macrotis,"Robinson, M. F., & Webber, M. (2000). Survey of bats (Mammalia: Chiroptera) in the Khammouan Limestone National Biodiversity Conservation Area. Lao PDR Natural History Bulletin of the Siam Society, 48, 21-45.",http://www.siamese-heritage.org/nhbsspdf/vol041-050/NHBSS_048_1i_Robinson_SurveyOfBatsMamm.pdf
Dataset_2_036,BC 037,S 005,Indomalayan,Asia,TSMB,Laos DPR,Tam En,18.02778,104.43056,Eonycteris spelaea,"Robinson, M. F., & Webber, M. (2000). Survey of bats (Mammalia: Chiroptera) in the Khammouan Limestone National Biodiversity Conservation Area. Lao PDR Natural History Bulletin of the Siam Society, 48, 21-45.",http://www.siamese-heritage.org/nhbsspdf/vol041-050/NHBSS_048_1i_Robinson_SurveyOfBatsMamm.pdf
Dataset_2_037,BC 038,S 005,Indomalayan,Asia,TSMB,Laos DPR,Tam En,18.02778,104.43056,Myotis siligorensis,"Robinson, M. F., & Webber, M. (2000). Survey of bats (Mammalia: Chiroptera) in the Khammouan Limestone National Biodiversity Conservation Area. Lao PDR Natural History Bulletin of the Siam Society, 48, 21-45.",http://www.siamese-heritage.org/nhbsspdf/vol041-050/NHBSS_048_1i_Robinson_SurveyOfBatsMamm.pdf
Dataset_2_038,BC 039,S 005,Indomalayan,Asia,TSMB,Laos DPR,Tam En,18.02778,104.43056,Hipposideros armiger,"Robinson, M. F., & Webber, M. (2000). Survey of bats (Mammalia: Chiroptera) in the Khammouan Limestone National Biodiversity Conservation Area. Lao PDR Natural History Bulletin of the Siam Society, 48, 21-45.",http://www.siamese-heritage.org/nhbsspdf/vol041-050/NHBSS_048_1i_Robinson_SurveyOfBatsMamm.pdf
Dataset_2_039,BC 040,S 005,Indomalayan,Asia,TSMB,Laos DPR,Tam En,18.02778,104.43056,Hipposideros diadema,"Robinson, M. F., & Webber, M. (2000). Survey of bats (Mammalia: Chiroptera) in the Khammouan Limestone National Biodiversity Conservation Area. Lao PDR Natural History Bulletin of the Siam Society, 48, 21-45.",http://www.siamese-heritage.org/nhbsspdf/vol041-050/NHBSS_048_1i_Robinson_SurveyOfBatsMamm.pdf
Dataset_2_040,BC 041,S 005,Indomalayan,Asia,TSMB,Laos DPR,Tam En,18.02778,104.43056,Rousettus amplexicaudatus,"Robinson, M. F., & Webber, M. (2000). Survey of bats (Mammalia: Chiroptera) in the Khammouan Limestone National Biodiversity Conservation Area. Lao PDR Natural History Bulletin of the Siam Society, 48, 21-45.",http://www.siamese-heritage.org/nhbsspdf/vol041-050/NHBSS_048_1i_Robinson_SurveyOfBatsMamm.pdf
Dataset_2_041,BC 042,S 005,Indomalayan,Asia,TSMB,Laos DPR,Tam Nong Seng,18.08889,104.47639,Hipposideros armiger,"Robinson, M. F., & Webber, M. (2000). Survey of bats (Mammalia: Chiroptera) in the Khammouan Limestone National Biodiversity Conservation Area. Lao PDR Natural History Bulletin of the Siam Society, 48, 21-45.",http://www.siamese-heritage.org/nhbsspdf/vol041-050/NHBSS_048_1i_Robinson_SurveyOfBatsMamm.pdf
Dataset_2_042,BC 043,S 005,Indomalayan,Asia,TSMB,Laos DPR,Tam Nong Seng,18.08889,104.47639,Rhinolophus luctus,"Robinson, M. F., & Webber, M. (2000). Survey of bats (Mammalia: Chiroptera) in the Khammouan Limestone National Biodiversity Conservation Area. Lao PDR Natural History Bulletin of the Siam Society, 48, 21-45.",http://www.siamese-heritage.org/nhbsspdf/vol041-050/NHBSS_048_1i_Robinson_SurveyOfBatsMamm.pdf
Dataset_2_043,BC 044,S 005,Indomalayan,Asia,TSMB,Laos DPR,Tam Kokhair,18.07361,104.47778,Hipposideros diadema,"Robinson, M. F., & Webber, M. (2000). Survey of bats (Mammalia: Chiroptera) in the Khammouan Limestone National Biodiversity Conservation Area. Lao PDR Natural History Bulletin of the Siam Society, 48, 21-45.",http://www.siamese-heritage.org/nhbsspdf/vol041-050/NHBSS_048_1i_Robinson_SurveyOfBatsMamm.pdf
Dataset_2_044,BC 045,S 005,Indomalayan,Asia,TSMB,Laos DPR,Tam Kokhair,18.07361,104.47778,Myotis siligorensis,"Robinson, M. F., & Webber, M. (2000). Survey of bats (Mammalia: Chiroptera) in the Khammouan Limestone National Biodiversity Conservation Area. Lao PDR Natural History Bulletin of the Siam Society, 48, 21-45.",http://www.siamese-heritage.org/nhbsspdf/vol041-050/NHBSS_048_1i_Robinson_SurveyOfBatsMamm.pdf
Dataset_2_045,BC 046,S 005,Indomalayan,Asia,TSMB,Laos DPR,Ban Kenghot,18.07083,104.49028,Cynopterus sphinx,"Robinson, M. F., & Webber, M. (2000). Survey of bats (Mammalia: Chiroptera) in the Khammouan Limestone National Biodiversity Conservation Area. Lao PDR Natural History Bulletin of the Siam Society, 48, 21-45.",http://www.siamese-heritage.org/nhbsspdf/vol041-050/NHBSS_048_1i_Robinson_SurveyOfBatsMamm.pdf
Dataset_2_046,BC 047,S 005,Indomalayan,Asia,TSMB,Laos DPR,Ban Kenghot,18.07083,104.49028,Aselliscus stoliczkanus,"Robinson, M. F., & Webber, M. (2000). Survey of bats (Mammalia: Chiroptera) in the Khammouan Limestone National Biodiversity Conservation Area. Lao PDR Natural History Bulletin of the Siam Society, 48, 21-45.",http://www.siamese-heritage.org/nhbsspdf/vol041-050/NHBSS_048_1i_Robinson_SurveyOfBatsMamm.pdf
Dataset_2_047,BC 048,S 005,Indomalayan,Asia,TSMB,Laos DPR,Ban Kenghot,18.07083,104.49028,Rhinolophus malayanus,"Robinson, M. F., & Webber, M. (2000). Survey of bats (Mammalia: Chiroptera) in the Khammouan Limestone National Biodiversity Conservation Area. Lao PDR Natural History Bulletin of the Siam Society, 48, 21-45.",http://www.siamese-heritage.org/nhbsspdf/vol041-050/NHBSS_048_1i_Robinson_SurveyOfBatsMamm.pdf
Dataset_2_048,BC 049,S 005,Indomalayan,Asia,TSMB,Laos DPR,Nam Hinboun Camp,18.04722,104.51583,Hipposideros larvatus,"Robinson, M. F., & Webber, M. (2000). Survey of bats (Mammalia: Chiroptera) in the Khammouan Limestone National Biodiversity Conservation Area. Lao PDR Natural History Bulletin of the Siam Society, 48, 21-45.",http://www.siamese-heritage.org/nhbsspdf/vol041-050/NHBSS_048_1i_Robinson_SurveyOfBatsMamm.pdf
Dataset_2_049,BC 050,S 005,Indomalayan,Asia,TSMB,Laos DPR,Tam Thea,18.14833,104.51583,Eonycteris spelaea,"Robinson, M. F., & Webber, M. (2000). Survey of bats (Mammalia: Chiroptera) in the Khammouan Limestone National Biodiversity Conservation Area. Lao PDR Natural History Bulletin of the Siam Society, 48, 21-45.",http://www.siamese-heritage.org/nhbsspdf/vol041-050/NHBSS_048_1i_Robinson_SurveyOfBatsMamm.pdf
Dataset_2_050,BC 051,S 005,Indomalayan,Asia,TSMB,Laos DPR,Tam Thea,18.14833,104.51583,Hipposideros larvatus,"Robinson, M. F., & Webber, M. (2000). Survey of bats (Mammalia: Chiroptera) in the Khammouan Limestone National Biodiversity Conservation Area. Lao PDR Natural History Bulletin of the Siam Society, 48, 21-45.",http://www.siamese-heritage.org/nhbsspdf/vol041-050/NHBSS_048_1i_Robinson_SurveyOfBatsMamm.pdf
Dataset_2_051,BC 052,S 005,Indomalayan,Asia,TSMB,Laos DPR,Tam Thea,18.14833,104.51583,Rousettus amplexicaudatus,"Robinson, M. F., & Webber, M. (2000). Survey of bats (Mammalia: Chiroptera) in the Khammouan Limestone National Biodiversity Conservation Area. Lao PDR Natural History Bulletin of the Siam Society, 48, 21-45.",http://www.siamese-heritage.org/nhbsspdf/vol041-050/NHBSS_048_1i_Robinson_SurveyOfBatsMamm.pdf
Dataset_2_052,BC 053,S 005,Indomalayan,Asia,TSMB,Laos DPR,Tam Thea,18.14833,104.51583,Taphozous theobaldi,"Robinson, M. F., & Webber, M. (2000). Survey of bats (Mammalia: Chiroptera) in the Khammouan Limestone National Biodiversity Conservation Area. Lao PDR Natural History Bulletin of the Siam Society, 48, 21-45.",http://www.siamese-heritage.org/nhbsspdf/vol041-050/NHBSS_048_1i_Robinson_SurveyOfBatsMamm.pdf
Dataset_2_053,BC 054,S 005,Indomalayan,Asia,TSMB,Laos DPR,Tam Pha Muang,18.00833,104.68056,Hipposideros larvatus,"Robinson, M. F., & Webber, M. (2000). Survey of bats (Mammalia: Chiroptera) in the Khammouan Limestone National Biodiversity Conservation Area. Lao PDR Natural History Bulletin of the Siam Society, 48, 21-45.",http://www.siamese-heritage.org/nhbsspdf/vol041-050/NHBSS_048_1i_Robinson_SurveyOfBatsMamm.pdf
Dataset_2_054,BC 055,S 005,Indomalayan,Asia,TSMB,Laos DPR,Tam Ama,17.70833,104.79722,Chaerephon plicatus,"Robinson, M. F., & Webber, M. (2000). Survey of bats (Mammalia: Chiroptera) in the Khammouan Limestone National Biodiversity Conservation Area. Lao PDR Natural History Bulletin of the Siam Society, 48, 21-45.",http://www.siamese-heritage.org/nhbsspdf/vol041-050/NHBSS_048_1i_Robinson_SurveyOfBatsMamm.pdf
Dataset_2_055,BC 056,S 005,Indomalayan,Asia,TSMB,Laos DPR,Tam Ama,17.70833,104.79722,Chaerephon plicatus,"Robinson, M. F., & Webber, M. (2000). Survey of bats (Mammalia: Chiroptera) in the Khammouan Limestone National Biodiversity Conservation Area. Lao PDR Natural History Bulletin of the Siam Society, 48, 21-45.",http://www.siamese-heritage.org/nhbsspdf/vol041-050/NHBSS_048_1i_Robinson_SurveyOfBatsMamm.pdf
