Dataset_sequence_ID,Data_Entry,Cave_Datas,Biogeographical.realm,Region,Country,Cave_Name,Latitude,Longitude,Canopy.cov,Tree.dens,Freshwater.dist,Bareground.change,Shortveg.change,Talltree.change,Urban.dist,Road.dist,Mine.dens,Nighlight,Pesticide.exp,Pop.dens
Dataset_3_123,BC 1203,S 038,Palearctic,Europe,Bulgaria,"Kalna matnitza cave, v. Glavatzi, Vratchanski Nat. Park B",41.36667,23.46667,0,35737.1,35.5269,-4,0,0,5000,0,0,64,0,5.24316
Dataset_3_124,BC 1219,S 038,Palearctic,Europe,Bulgaria,Prilepnata 3,41.88333,23.56667,31,68001.8,11.3137,0,-20,20,4414.21,0,0,39,0,43.8446
Dataset_3_125,BC 1220,S 038,Palearctic,Europe,Bulgaria,Prilepnata 4,41.88333,23.56667,31,68001.8,16,0,-20,20,4414.21,0,0,39,0,43.8446
Dataset_3_126,BC 1221,S 038,Palearctic,Europe,Bulgaria,Prilepnata 5,41.88333,23.56667,31,68001.8,7,0,-20,20,4414.21,0,0,39,0,43.8446
Dataset_3_127,BC 1222,S 038,Palearctic,Europe,Bulgaria,Prilepnata 6,41.88333,23.56667,31,68001.8,7,0,-20,20,4414.21,0,0,39,0,43.8446
Dataset_3_128,BC 1223,S 038,Palearctic,Europe,Bulgaria,Prilepnata 2,41.88333,23.56667,31,68001.8,7,0,-20,20,4414.21,0,0,39,0,43.8446
Dataset_3_129,BC 1251,S 038,Palearctic,Europe,Bulgaria,Toplya,43,24.06667,0,0,41.6985,0,-30,32,3828.43,0,0,65,0,23.7533
Dataset_3_130,BC 1279,S 038,Palearctic,Europe,Bulgaria,Parnitsite B,41.61667,24.38333,28,0,58.8284,0,0,0,13656.9,0,0,27,0,19.1217
Dataset_3_131,BC 1292,S 038,Palearctic,Europe,Bulgaria,Golyamata Mikrenska Peshtera cave,43.26667,24.51667,0,0,45.799,-2,0,0,11485.3,0,0,61,0,145.742
Dataset_3_132,BC 1302,S 038,Palearctic,Europe,Bulgaria,Nanin Kamak B,43.41667,24.85,0,0,9,0,0,0,4000,0,0,75,0,25.7306
Dataset_3_133,BC 1312,S 038,Palearctic,Europe,Bulgaria,Kanchova,43.71667,24.88333,0,0,16.1421,-7,4,4,1000,0,49.7359,96,0,21.3436
Dataset_3_134,BC 1342,S 038,Palearctic,Europe,Bulgaria,Prilepnata,42.13333,25.06667,0,0,7.07107,0,5,0,0,0,0,307,0,85.5748
Dataset_3_135,BC 1362,S 038,Palearctic,Europe,Bulgaria,Bacho Kiro cave,42.31667,25.46667,0,0,28.0416,-2,0,0,1414.21,0,0,71,0,39.5047
Dataset_3_136,BC 1383,S 038,Palearctic,Europe,Bulgaria,Vodnite,42.01667,25.75,0,0,14.4142,-5,0,0,1000,0,0,58,0,89.3022
Dataset_3_137,BC 1387,S 038,Palearctic,Europe,Bulgaria,Gyurgen Dere cave,42.03333,25.91667,0,0,41.2843,-5,4,0,5000,0,0,77,0,38.789
Dataset_3_138,BC 1428,S 038,Palearctic,Europe,Bulgaria,"Vodnata cave, v. Cerovo",43.26667,26.56667,0,0,32.9706,0,0,0,0,0,0,138,0,78.2602
