id,species,longitude,latitude,year,source,date_filter,precision_filter,precision_filter_date,neo_filter,spatial_filter,.val,.equ,.zer,.cap,.cen,.sea,.urb,.gbf,.inst,.dpl,.summary,lon,lat,bias_filter
40,Desmodus rotundus rotundus,-57.0667,-25.259,1972,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-57.0667,-25.259,TRUE
41,Desmodus rotundus rotundus,-58.68333,-23.63333,1973,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-58.68333,-23.63333,TRUE
42,Desmodus rotundus rotundus,-78.173330000000007,-4.44167,1977,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-78.173330000000007,-4.44167,TRUE
43,Desmodus rotundus rotundus,-79.78309,-5.8925,1978,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-79.78309,-5.8925,TRUE
44,Desmodus rotundus rotundus,-69.07289,-12.6,1983,specieslink,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-69.07289,-12.6,TRUE
45,Desmodus rotundus rotundus,-71.387626,-12.849127,1984,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-71.387626,-12.849127,TRUE
46,Desmodus rotundus,-73.04844,-12.64814,1984,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-73.04844,-12.64814,TRUE
47,Desmodus rotundus,-79.82481,-5.84975,1984,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-79.82481,-5.84975,TRUE
48,Desmodus rotundus,-40.377778,-19.879722,2006,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-40.377778,-19.879722,TRUE
49,Desmodus rotundus,-40.336814,-20.28814,2003,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-40.336814,-20.28814,TRUE
50,Desmodus rotundus,-41.081111,-21.031944,2010,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-41.081111,-21.031944,TRUE
51,Desmodus rotundus,-40.3856010437012,-19.7574996948242,2010,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-40.3856010437012,-19.7574996948242,TRUE
52,Desmodus rotundus,-50.5835990905762,-29.4480991363525,1996,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-50.5835990905762,-29.4480991363525,TRUE
53,Desmodus rotundus,-49.7147,-25.4717,2005,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-49.7147,-25.4717,TRUE
54,Desmodus rotundus,-49.6356,-25.5839,NA,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-49.6356,-25.5839,TRUE
55,Desmodus rotundus,-49.0633,-25.4417,2011,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-49.0633,-25.4417,TRUE
