id,species,longitude,latitude,year,source,date_filter,precision_filter,precision_filter_date,neo_filter,.val,.equ,.zer,.dpl,.summary,lon,lat,bias_filter,sptdist_filter
298,desmodus_rotundus,-55.250384,-34.554799,2023,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-55.250384,-34.554799,TRUE,TRUE
309,desmodus_rotundus,-84.788253,10.363203,2023,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-84.788253,10.363203,TRUE,TRUE
310,desmodus_rotundus,-49.154426,-16.545189,2023,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-49.154426,-16.545189,TRUE,TRUE
312,desmodus_rotundus,-71.913949,6.148404,2023,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-71.913949,6.148404,TRUE,TRUE
316,desmodus_rotundus,-84.010005,10.429298,2023,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-84.010005,10.429298,TRUE,TRUE
324,desmodus_rotundus,-71.685464,4.188144,2023,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-71.685464,4.188144,TRUE,TRUE
347,desmodus_rotundus,-43.359443,-19.82603,2023,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-43.359443,-19.82603,TRUE,TRUE
359,desmodus_rotundus,-94.784517,16.580478,2023,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-94.784517,16.580478,TRUE,TRUE
386,desmodus_rotundus,-88.211006,13.969574,2023,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-88.211006,13.969574,TRUE,TRUE
391,desmodus_rotundus,-78.43021,-9.260771,NA,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-78.43021,-9.260771,TRUE,TRUE
